,t2_towerKills,t1_towerKills,firstInhibitor,t2_inhibitorKills,t1_inhibitorKills,firstTower,firstBaron,t2_dragonKills,t1_dragonKills,t1_baronKills,t2_baronKills,firstDragon
26482,1,11,1,0,5,1,1,1,1,1,0,2
26483,10,3,2,2,0,2,2,2,1,0,1,2
26484,6,7,2,1,1,2,1,0,3,1,0,1
26485,9,1,2,1,0,2,2,1,0,0,1,2
26486,4,6,1,0,1,1,0,2,1,0,0,2
26487,10,1,2,2,0,2,2,3,0,0,1,2
26488,7,5,2,1,0,2,2,2,0,0,1,2
26489,3,10,1,0,1,2,0,1,2,0,0,1
26490,9,3,2,1,0,2,0,3,1,0,0,1
26491,2,11,1,0,2,1,1,1,3,1,0,2
26492,2,9,1,0,1,1,0,1,1,0,0,2
26493,0,10,1,0,3,1,1,1,3,1,0,1
26494,0,0,0,0,0,0,0,0,0,0,0,0
26495,0,11,1,0,3,1,0,0,2,0,0,1
26496,4,10,1,0,1,1,1,1,3,1,0,2
26497,2,8,1,0,1,1,0,0,2,0,0,1
26498,10,3,2,1,0,2,0,1,0,0,0,2
26499,1,7,1,0,1,1,0,1,1,0,0,2
26500,0,10,1,0,2,1,1,0,3,1,0,1
26501,1,11,1,0,3,1,1,0,2,1,0,1
26502,3,0,0,0,0,2,0,0,1,0,0,1
26503,0,11,1,0,2,1,0,0,2,0,0,1
26504,10,3,2,4,0,1,2,2,0,0,1,2
26505,9,9,2,3,3,1,2,0,2,0,2,1
26506,3,9,1,0,3,1,1,2,1,1,0,2
26507,9,3,2,2,0,1,2,3,0,0,2,2
26508,8,5,2,1,0,1,0,1,0,0,0,2
26509,7,5,2,1,0,1,1,1,2,1,1,1
26510,9,3,2,4,0,2,1,3,2,2,1,2
26511,11,3,2,3,0,1,2,4,0,0,1,2
26512,4,6,0,0,0,1,1,0,3,1,0,1
26513,10,4,2,1,0,2,2,1,2,0,1,1
26514,3,10,1,0,2,2,1,2,2,2,0,1
26515,8,7,2,1,1,1,2,2,2,0,1,1
26516,7,4,2,1,0,2,2,3,0,0,1,2
26517,0,8,1,0,1,1,0,0,2,0,0,1
26518,10,3,2,2,0,2,2,1,2,0,1,2
26519,10,3,2,3,0,2,2,3,1,0,1,2
26520,8,2,2,2,0,2,0,3,0,0,0,2
26521,7,0,2,1,0,2,0,1,0,0,0,2
26522,9,4,2,1,0,2,2,3,1,0,1,2
26523,3,7,1,0,1,1,0,3,0,0,0,2
26524,10,6,2,2,0,2,2,2,1,0,1,2
26525,0,11,1,0,2,1,1,1,2,1,0,2
26526,7,3,2,1,0,2,0,2,1,0,0,1
26527,5,1,0,0,0,2,0,1,1,0,0,1
26528,1,9,1,0,2,1,1,0,2,1,0,1
26529,0,6,1,0,1,1,0,0,1,0,0,1
26530,7,3,2,1,0,2,2,0,1,0,1,1
26531,0,9,1,0,2,1,0,1,2,0,0,2
26532,3,8,1,0,1,2,1,2,0,1,0,2
26533,4,1,0,0,0,2,2,2,0,0,1,2
26534,1,8,1,0,2,1,1,0,3,1,0,1
26535,5,11,1,0,3,2,1,0,4,2,0,1
26536,8,3,2,2,0,2,1,1,1,1,0,1
26537,1,4,0,0,0,1,0,0,1,0,0,1
26538,7,7,1,0,1,2,2,2,1,0,1,2
26539,11,5,2,2,0,2,2,4,1,0,1,2
26540,3,7,1,0,1,2,1,0,3,1,0,1
26541,7,1,2,1,0,2,2,2,0,0,1,2
26542,2,11,1,0,3,1,1,0,3,1,0,1
26543,1,6,1,0,1,1,0,0,2,0,0,1
26544,11,3,2,2,0,2,1,3,1,1,0,1
26545,0,3,0,0,0,1,0,0,1,0,0,1
26546,10,4,2,1,0,2,2,3,1,0,1,2
26547,11,4,2,3,0,1,0,3,0,0,0,2
26548,8,2,2,1,0,2,2,3,0,0,1,2
26549,3,9,1,0,3,2,0,0,3,0,0,1
26550,3,9,1,0,2,2,0,0,1,0,0,1
